,Negative,Neutral,Positive,User
0,15.0,62.0,62.0,@katyperry
1,2.0,5.0,1.0,@justinbieber
2,4.0,9.0,9.0,@BarackObama
3,0.0,1.0,2.0,@taylorswift13
4,3.0,0.0,1.0,@rihanna
5,4.0,9.0,21.0,@TheEllenShow
6,1.0,2.0,6.0,@ladygaga
7,0.0,4.0,6.0,@jtimberlake
8,0.0,1.0,5.0,@britneyspears
9,0.0,6.0,5.0,@KimKardashian
10,0.0,0.0,0.0,@Cristiano
11,0.0,3.0,1.0,@selenagomez
12,1.0,8.0,8.0,@jimmyfallon
13,4.0,12.0,8.0,@ArianaGrande
14,0.0,0.0,0.0,@shakira
15,1.0,9.0,5.0,@ddlovato
16,3.0,8.0,6.0,@MileyCyrus
17,1.0,21.0,17.0,@kanyewest
18,0.0,5.0,3.0,@realDonaldTrump
