,@katyperry,@justinbieber,@BarackObama,@taylorswift13,@rihanna,@TheEllenShow,@ladygaga,@jtimberlake,@KimKardashian,@selenagomez,@jimmyfallon,@ArianaGrande,@ddlovato,@MileyCyrus,@kanyewest,@realDonaldTrump,@KingJames,@Oprah,@Adele,@Drake,@KevinHart4real,@RyanSeacrest,@JLo,@NICKIMINAJ
@katyperry,3.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
@justinbieber,11.0,0.0,0.0,0.0,3.0,38.0,2.0,2.0,1.0,0.0,13.0,17.0,0.0,2.0,4.0,0.0,0.0,0.0,3.0,14.0,7.0,18.0,1.0,0.0
@BarackObama,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
@taylorswift13,1.0,1.0,0.0,0.0,0.0,5.0,1.0,6.0,0.0,13.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,6.0
@rihanna,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0
@TheEllenShow,93.0,2.0,20.0,0.0,0.0,0.0,3.0,0.0,13.0,0.0,0.0,5.0,5.0,12.0,2.0,0.0,4.0,11.0,19.0,8.0,2.0,0.0,4.0,3.0
@ladygaga,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
@jtimberlake,2.0,0.0,0.0,5.0,0.0,11.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
@KimKardashian,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0
@selenagomez,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
@jimmyfallon,7.0,11.0,0.0,0.0,0.0,5.0,1.0,16.0,0.0,1.0,0.0,15.0,2.0,5.0,0.0,3.0,1.0,0.0,6.0,5.0,11.0,5.0,5.0,1.0
@ArianaGrande,22.0,4.0,5.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,16.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,21.0
@ddlovato,6.0,0.0,1.0,0.0,2.0,6.0,4.0,0.0,2.0,3.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,6.0,11.0,2.0
@MileyCyrus,3.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
@kanyewest,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
@realDonaldTrump,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
@KingJames,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
@Oprah,0.0,0.0,0.0,1.0,0.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
@Adele,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
@Drake,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
@KevinHart4real,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
@RyanSeacrest,69.0,26.0,3.0,19.0,2.0,3.0,4.0,6.0,15.0,3.0,6.0,5.0,26.0,2.0,9.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,97.0,4.0
@JLo,5.0,3.0,0.0,0.0,3.0,3.0,1.0,0.0,3.0,1.0,14.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,47.0,0.0,0.0
@NICKIMINAJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
