,celeb,news,other,political,sports,trends,twitter_id
0,44.0,20.0,117.0,0.0,119.0,143.0,@KingJames
1,16.0,5.0,48.0,4.0,86.0,52.0,@KDTrey5
2,1.0,14.0,156.0,0.0,313.0,46.0,@StephenCurry30
3,31.0,1.0,44.0,1.0,65.0,52.0,@Cristiano
4,203.0,33.0,278.0,46.0,194.0,603.0,@JohnCena
5,36.0,812.0,253.0,453.0,8.0,57.0,@BarackObama
6,6.0,49.0,80.0,860.0,2.0,59.0,@realDonaldTrump
7,18.0,46.0,71.0,383.0,1.0,13.0,@HillaryClinton
8,13.0,90.0,212.0,443.0,11.0,33.0,@BernieSanders
9,18.0,289.0,307.0,606.0,9.0,60.0,@tedcruz
10,470.0,40.0,227.0,22.0,270.0,314.0,@Oprah
11,838.0,36.0,383.0,16.0,124.0,188.0,@RyanSeacrest
12,354.0,23.0,281.0,21.0,42.0,241.0,@TheEllenShow
13,347.0,32.0,391.0,44.0,50.0,63.0,@jimmykimmel
14,908.0,29.0,274.0,12.0,15.0,194.0,@jimmyfallon
15,268.0,6.0,207.0,27.0,17.0,128.0,@KimKardashian
16,1170.0,78.0,378.0,40.0,4.0,144.0,@justinbieber
17,1310.0,5.0,244.0,10.0,83.0,233.0,@KevinHart4real
18,234.0,39.0,164.0,4.0,0.0,175.0,@ArianaGrande
19,663.0,57.0,448.0,44.0,27.0,484.0,@ddlovato
