source,target,value
@katyperry,@katyperry,3.0
@katyperry,@BarackObama,1.0
@katyperry,@rihanna,2.0
@katyperry,@ladygaga,2.0
@katyperry,@ddlovato,1.0
@katyperry,@MileyCyrus,1.0
@katyperry,@kanyewest,4.0
@katyperry,@realDonaldTrump,2.0
@katyperry,@Drake,1.0
@katyperry,@RyanSeacrest,1.0
@justinbieber,@katyperry,11.0
@justinbieber,@rihanna,3.0
@justinbieber,@TheEllenShow,38.0
@justinbieber,@ladygaga,2.0
@justinbieber,@jtimberlake,2.0
@justinbieber,@KimKardashian,1.0
@justinbieber,@jimmyfallon,13.0
@justinbieber,@ArianaGrande,17.0
@justinbieber,@MileyCyrus,2.0
@justinbieber,@kanyewest,4.0
@justinbieber,@Adele,3.0
@justinbieber,@Drake,14.0
@justinbieber,@KevinHart4real,7.0
@justinbieber,@RyanSeacrest,18.0
@justinbieber,@JLo,1.0
@BarackObama,@TheEllenShow,3.0
@BarackObama,@jimmyfallon,2.0
@taylorswift13,@katyperry,1.0
@taylorswift13,@justinbieber,1.0
@taylorswift13,@TheEllenShow,5.0
@taylorswift13,@ladygaga,1.0
@taylorswift13,@jtimberlake,6.0
@taylorswift13,@selenagomez,13.0
@taylorswift13,@jimmyfallon,3.0
@taylorswift13,@ArianaGrande,1.0
@taylorswift13,@Drake,2.0
@taylorswift13,@RyanSeacrest,6.0
@taylorswift13,@NICKIMINAJ,6.0
@rihanna,@katyperry,6.0
@rihanna,@TheEllenShow,1.0
@rihanna,@kanyewest,3.0
@rihanna,@KingJames,1.0
@rihanna,@Drake,4.0
@rihanna,@KevinHart4real,1.0
@TheEllenShow,@katyperry,93.0
@TheEllenShow,@justinbieber,2.0
@TheEllenShow,@BarackObama,20.0
@TheEllenShow,@ladygaga,3.0
@TheEllenShow,@KimKardashian,13.0
@TheEllenShow,@ArianaGrande,5.0
@TheEllenShow,@ddlovato,5.0
@TheEllenShow,@MileyCyrus,12.0
@TheEllenShow,@kanyewest,2.0
@TheEllenShow,@KingJames,4.0
@TheEllenShow,@Oprah,11.0
@TheEllenShow,@Adele,19.0
@TheEllenShow,@Drake,8.0
@TheEllenShow,@KevinHart4real,2.0
@TheEllenShow,@JLo,4.0
@TheEllenShow,@NICKIMINAJ,3.0
@ladygaga,@taylorswift13,4.0
@ladygaga,@TheEllenShow,3.0
@ladygaga,@jimmyfallon,1.0
@ladygaga,@ArianaGrande,1.0
@ladygaga,@kanyewest,2.0
@ladygaga,@realDonaldTrump,2.0
@ladygaga,@Oprah,1.0
@ladygaga,@Adele,1.0
@jtimberlake,@katyperry,2.0
@jtimberlake,@taylorswift13,5.0
@jtimberlake,@TheEllenShow,11.0
@jtimberlake,@jimmyfallon,9.0
@jtimberlake,@ArianaGrande,1.0
@jtimberlake,@KingJames,1.0
@jtimberlake,@Drake,1.0
@KimKardashian,@katyperry,5.0
@KimKardashian,@TheEllenShow,5.0
@KimKardashian,@ddlovato,2.0
@KimKardashian,@kanyewest,26.0
@KimKardashian,@RyanSeacrest,3.0
@KimKardashian,@JLo,2.0
@selenagomez,@taylorswift13,5.0
@selenagomez,@ArianaGrande,1.0
@selenagomez,@ddlovato,1.0
@jimmyfallon,@katyperry,7.0
@jimmyfallon,@justinbieber,11.0
@jimmyfallon,@TheEllenShow,5.0
@jimmyfallon,@ladygaga,1.0
