source,time,target,text,value
@katyperry,2/6/17 1:28,@ladygaga,I want jumping gifs stat! Bravo @ladygaga ,0
@katyperry,2/5/17 19:50,@ladygaga,Rooting for you @ladygaga! You got this #LittleMonsters,0
@katyperry,1/11/17 8:38,@barackobama,@barackobama Thank you for your incredible grace in leadership and for being an exceptional https://t.co/ZuQLZpt6df,1
@katyperry,12/6/16 9:54,@kanyewest,@jessesaintjohn @kanyewest FADE DOE,0
@katyperry,11/19/16 19:08,@realDonaldTrump,". @realDonaldTrump how bout you start with an apology for your divisive, racist, xenophobic rhetoric?
#thanksgivingdayclapback",0
@katyperry,10/26/16 5:44,@kanyewest,just went in the pit @kanyewest for my bday. 32 is lookin ,0
@katyperry,10/10/16 2:08,@realDonaldTrump,"RT @realDonaldTrump: Do you think Putin will be going to The Miss Universe Pageant in November in Moscow - if so, will he become my new bes",1
@katyperry,9/14/16 17:05,@kanyewest,@kanyewest unplug to connect.,0
@katyperry,9/11/16 3:44,@drake,Ayyye anyone at @drake show have an extra baby wipe for my white @AdidasBoosts my leg makeup is dripping,0
@katyperry,7/28/16 3:15,@BarackObama,"""Don't boo, VOTE!"" @BarackObama spit that",0
@katyperry,2/16/16 3:01,@ddlovato,@ddlovato YAS YAS YAS SHOW THEM,0
@katyperry,2/7/16 8:03,@rihanna,That jamesjoint needs to be at least  2mins long so I can get that groove @rihanna I keep pressin replay...when's the remix... ayyye,-1
@katyperry,1/28/16 0:08,@kanyewest,My personal fav was #8 @kanyewest ,0
@katyperry,10/23/15 8:15,@adele,"Soz, it's @adele !!! (typo )",0
@katyperry,8/31/15 1:00,@MileyCyrus,GOOD LUCK TONIGHT @MileyCyrus  http://t.co/MZHw3n5rCz,1
@katyperry,4/13/15 5:06,@Drake,Wearin silk to see @Drake ,0
@katyperry,3/19/15 16:59,@RyanSeacrest,See @RyanSeacrest  http://t.co/eImw1RZG8L,0
@katyperry,2/21/15 0:53,@rihanna,HBD to my flawless friend @rihanna may I bestow this gift of beautiful fan art of us embracing in a http://t.co/qT1YdsKj4Q,1
