,sentiment,text
0,1,RT @beatsbydre: Mind over matter--it's more than a game. @KingJames and @KDTrey5 chop it up about songs that fuel their drive in #TheShop's
1,1,RT @LittleTikes: Excited to celebrate our @LJFamFoundation partnership w/ @kingjames &amp; @theellenshow! Watch Ellen today &amp; #DreamBig!  https
2,1,RT @TheEllenShow: .@KingJames is on my show today. No bigs. https://t.co/RIo2BqUtbs https://t.co/g6RklVxl3o
3,1,@StephenCurry30 needs to stop it man!! He's ridiculous man! Never before seen someone like him in the history of ball!
4,1,Even in defeat and even playing horrible(personally) nothing like playing in atmospheres like @OracleArena vs @StephenCurry30 @Money23Green
5,1,RT @jimmyfallon: Ha!!!! It's all Bill. Go see Trainwreck!  https://t.co/hUMMaLIyu9
6,1,RT @JuddApatow: Trainwreck is in movie theaters right now!!!  @amyschumer @KingJames @JohnCena @iamcolinquinn @birbigs http://t.co/f1KRH6R5
7,1,Thanks to #dubnation for making me a starter in NOLA. Looking forward to reppin the West w/ @KDTrey5 &amp; a few other https://t.co/sybj3NxBM2
8,-1,Won't be smiling after the game tonight @KDTrey5! #KeepPounding https://t.co/pi0liB62kJ
9,1,Talking golf and my @BritaUSA partnership with @FLOTUS and @TheEllenShow. Pretty cool day. #H2Ofcourse https://t.co/KepMSXAVRE
10,1,"Congrats to the newest member of #DubNation @KDTrey5new journey, same goal! #JustUS"
11,1,"RT @Money23Green: Man @BarackObama is the MAN!!!! Swag is crazy, super smart and just a joy to listen speak!!! Wow what a blessing!!! #SF"
12,1,RT @BETSports: .@StephenCurry30 @CP3 @KingJames &amp; more will be at the 1st ever @TheNBPA #PlayersAwardsBET this TUES 8P/7c http://t.co/0VOFQ
13,1,Man what?? Thanks 2 everyone who voted. Amazing honor. S/o to @KingJames @AaronRodgers12 @JJWatt thats some incredible company! #ESPYAwards
14,1,@KevinHart4real thanks bro. Dream come true
15,1,"RT @TheEllenShow: .@JohnCena, I love you! https://t.co/4VZ8LqavWZ"
16,0,Tonight! Watch me on @JimmyKimmel on ABC! #KIMMEL #MajorEndorsement https://t.co/8SPrFNYWg1
17,1,Given to me by @TheEllenShow for #CenaReturns damn right I'll be wearing em' on #RAW #MemorialDay @WWE #manofmyword https://t.co/E25nOilXKz
18,1,Still reeling off of #WHCD . @BarackObama unreal speech Thanks @BryanSinger @JCChasez @Scaramucci @FOXTV great night https://t.co/Lx0DdtkQ8X
19,1,Thank you @TheEllenShow for the @tictacglobal and the new gear! I WILL wear this @WWE what a great time and an honor https://t.co/S8bu6dGCgB
20,1,What can I say? @jimmyfallon @FallonTonight you are the best!!!! Thank you for all the #chaos
21,1,"RT @jimmyfallon: Fun show tonight: @SusanSarandon, @JohnCena and a performance from Michael Stipe! #FallonTonight"
22,0,"RT @jimmyfallon: Tonight: Presidential candidate Senator @BernieSanders, @JohnCena, and @troyesivan makes his TV debut! #TroyeOnFallon #Fal"
23,1,"Oh yeah, and go see #Trainwreck @amyschumer @JuddApatow @KingJames NOW! Go already! Put down the @twitter machine and GO!!!"
24,1,RT @JuddApatow: Trainwreck is in movie theaters right now!!!  @amyschumer @KingJames @JohnCena @iamcolinquinn @birbigs http://t.co/f1KRH6R5
25,0,".@NBA Finals shows us one thing. #NeverGiveUp. 40 years since last #NBAFinals, @Warriors. Tough challenge ahead, @KingJames. #Respect"
26,1,RT @adambvary: Two stealth MVPs of TRAINWRECK: @KingJames and @JohnCena. Both made me laugh so hard I snorted. #SXSW
27,0,RT @FallonTonight: .@POTUS and @jimmyfallon Slow Jam the News https://t.co/51BDe8zaca #POTUSonFallon #FallonTonight https://t.co/S64AtoY0tJ
28,0,Watch President Obama thank @TheEllenShow for all she's done for the LGBT community: https://t.co/Und55Vdlxy #LoveIsLove
29,0,"RT @TheEllenShow: .@BarackObama was here in 2007, and tomorrow hes barack. I mean back. #TBT @POTUS
https://t.co/LKU0eS0GXF"
30,1,RT @jimmyfallon: The Evolution of Mom Dancing 2 - Special thanks to @FLOTUS! #GimmeFive #MomDance https://t.co/8TEEYsj5Fj #FallonTonight
31,1,.@VP stops by @TheEllenShow with a message for young adults: Give your mom some peace of mind and #GetCovered. http://t.co/MqMOsk9bWK
32,-1,RT @TeamTrump: Mrs. Saucier's son is in prison for having classified info on an unsecured device. @HillaryClinton did FAR WORSE &amp; is runnin
33,-1,"""@jensen4law: Best way to pay Hillary back for what she did to @BernieSanders #DNCleak is a DonaldTrump LANDSLIDE https://t.co/Ha8o5wCyGh"""
34,-1,"ISIS has infiltrated countries all over Europe by posing as refugees, and @HillaryClinton will allow it to happen h https://t.co/MmeW2qsTQh"
35,0,"RT @TeamTrump: What They Are Saying About @realDonaldTrump's GREAT Debate and @HillaryClinton's Bad Performance
https://t.co/FGULnoDrkQ htt"
36,-1,"After Crooked @HillaryClinton allowed ISIS to rise, she now claims she'll defeat them? LAUGHABLE! Here's my plan: https://t.co/FzRMObNQVn"
37,-1,You should give the money back @HillaryClinton! #DrainTheSwamp https://t.co/m0LKHRUoHz
38,-1,Crooked @HillaryClinton's foundation is a CRIMINAL ENTERPRISE. Time to #DrainTheSwamp!  https://t.co/89eOMTsIjt #BigLeagueTruth #Debate
39,-1,.@HillaryClinton loves to lie. America has had enough of the CLINTON'S! It is time to #DrainTheSwamp! Debates https://t.co/3Mz4T7qTTR
40,0,"Brought to you by @HillaryClinton &amp; her campaign- in Chicago, Illinois. 
#BigLeagueTruth #DrainTheSwamp https://t.co/10iUBOcECp"
41,-1,.@HillaryClinton has been doing this for THIRTY YEARS....where has she been? #BigLeagueTruth
42,-1,.@HillaryClinton's tax hikes will CRUSH our economy. I will cut taxes -- BIG LEAGUE. https://t.co/EtA1tBnrNG https://t.co/NgMDP4wilI
43,-1,".@HillaryClinton talking about jobs? Remember what she promised upstate New York. #BigLeagueTruth
#Debates https://t.co/SmjNuHi7XB"
44,-1,.@HillaryClinton has been a foreign policy DISASTER for the American people. I will #MakeAmericaStrongAgain #Debate https://t.co/tj6PWM5r1J
45,-1,".@HillaryClinton- you have failed, failed, and failed. #BigLeagueTruth
Time to #DrainTheSwamp! https://t.co/c2EiyU8XKK"
46,-1,.@HillaryClinton lists litany of ways she plans to restrict gun rights. 2A will not survive a Hillary presidency. #Debate #BigLeagueTruth
47,-1,"Hypocrite: @HillaryClinton is the single biggest beneficiary of Citizens United in history, by far. #debate #bigleaguetruth"
48,-1,"RT @KellyannePolls: After a decent first debate, @HillaryClinton is back to form: pedantic, lawyerly, technocratic, (woefully untruthful) r"
49,-1,"If @HillaryClinton is president, shell be all talk and nothing will get done. #Debate #BigLeagueTruth"
50,-1,RT @TeamTrump: .@HillaryClinton had her chance and she BLEW IT. #BigLeagueTruth #Debates https://t.co/d2MI0DCg5Y
51,0,"RT @JasonMillerinDC: Is @realDonaldTrump debating Crooked @HillaryClinton or the moderators, @AC360 and @MarthaRaddatz? #rattledhillary"
